RUANGAN;KAPASITAS NORMAL;KAPASITAS UJIAN
KTT 1.02;45;23
KTT 1.03;45;23
KTT 1.04;45;23
KTT 1.05;45;23
KTT 1.06;45;23
KTT 1.07;45;23
KTT 1.08;45;23
KTT 1.09;45;23
KTT A-1.06;45;23
KTT 1.16;45;23
KTT 1.17;45;23
KTT 1.18;45;23
KTT 1.19;45;23
KTT 1.20;45;23
KTT 1.21;45;23
KTT 1.22;45;23
KTT B-1.05;45;23
KTT B-1.06;45;23
KTT 1.27B;80;40
KTT B-1.08;45;23
KTT B-1.07;45;23
KTT A-1.07;45;23
KTT 1.32;40;20
KTT 2.02;45;23
KTT 2.03;45;23
KTT 2.04;45;23
KTT 2.05;45;23
KTT 2.06;45;23
KTT 2.07;45;23
KTT 2.08;45;23
KTT 2.09;45;23
KTT 2.14;45;23
KTT 2.15;45;23
KTT 2.16;45;23
KTT 2.17;45;23
KTT 2.18;45;23
KTT 2.19;45;23
KTT 2.20;45;23
KTT 2.21;45;23
KTT 2.23;45;23
KTT 2.24;45;23
KTT 2.25;45;23
KTT 2.26;45;23
KTT 2.27;45;23
KTT 2.28;45;23
KTT 2.29;35;18
KTT 2.32;45;23
KTT A-1.03;45;23
KTT A-1.04;45;23
KTT 2.35;45;23
KTT 2.36;45;23
KTT 2.37;45;23
AULA;200;150
